character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate
greninja,joker,9,12,21,0.42857142857142855
mario,megaman,9,5,14,0.6428571428571429
megaman,pichu,8,10,18,0.4444444444444444
metaknight,sonic,5,1,6,0.8333333333333334
bowser,cloud,19,8,27,0.7037037037037037
dr. mario,ness,5,3,8,0.625
megaman,metaknight,7,5,12,0.5833333333333334
metaknight,pichu,6,2,8,0.75
incineroar,shulk,4,9,13,0.3076923076923077
bowser,megaman,4,2,6,0.6666666666666666
palutena,samus,16,13,29,0.5517241379310345
megaman,megaman,6,5,11,0.5454545454545454
cloud,king dedede,15,6,21,0.7142857142857143
cloud,megaman,17,7,24,0.7083333333333334
joker,mario,14,5,19,0.7368421052631579
dr. mario,palutena,5,5,10,0.5
chrom,corrin,7,1,8,0.875
cloud,simon,4,5,9,0.4444444444444444
donkeykong,ridley,9,4,13,0.6923076923076923
cloud,rosalina & luma,6,2,8,0.75
megaman,rob,18,3,21,0.8571428571428571
dr. mario,greninja,5,4,9,0.5555555555555556
simon,snake,5,4,9,0.5555555555555556
mario,peach,9,5,14,0.6428571428571429
pacman,simon,4,3,7,0.5714285714285714
peach,rosalina & luma,6,1,7,0.8571428571428571
robin,toon link,5,4,9,0.5555555555555556
dr. mario,metaknight,4,2,6,0.6666666666666666
lucas,sheik,3,2,5,0.6
inkling,sheik,4,1,5,0.8
rob,rob,14,22,36,0.3888888888888889
dr. mario,snake,14,4,18,0.7777777777777778
greninja,sheik,5,5,10,0.5
chrom,sheik,3,2,5,0.6
dr. mario,peach,5,4,9,0.5555555555555556
bowser,peach,12,5,17,0.7058823529411765
greninja,sonic,10,9,19,0.5263157894736842
link,rosalina & luma,3,2,5,0.6
diddy kong,megaman,8,5,13,0.6153846153846154
joker,megaman,13,4,17,0.7647058823529411
lucas,rob,21,6,27,0.7777777777777778
mrgameandwatch,samus,8,6,14,0.5714285714285714
lucas,richter,1,4,5,0.2
chrom,palutena,16,11,27,0.5925925925925926
joker,simon,1,4,5,0.2
inkling,metaknight,9,6,15,0.6
dr. mario,samus,5,3,8,0.625
byleth,snake,5,2,7,0.7142857142857143
mario,sheik,9,2,11,0.8181818181818182
hero,wii fit trainer,3,3,6,0.5
richter,wolf,8,9,17,0.47058823529411764
incineroar,mrgameandwatch,10,2,12,0.8333333333333334
metaknight,richter,3,2,5,0.6
chrom,rob,15,9,24,0.625
mrgameandwatch,peach,8,2,10,0.8
byleth,sheik,4,2,6,0.6666666666666666
chrom,luigi,8,1,9,0.8888888888888888
metaknight,palutena,13,5,18,0.7222222222222222
luigi,yoshi,8,4,12,0.6666666666666666
peach,pokemon trainer,19,9,28,0.6785714285714286
lucas,metaknight,4,1,5,0.8
greninja,lucas,9,6,15,0.6
peach,zelda,9,0,9,1.0
duckhunt,rosalina & luma,4,1,5,0.8
richter,rob,11,4,15,0.7333333333333333
olimar,wario,2,3,5,0.4
chrom,dr. mario,4,3,7,0.5714285714285714
chrom,ice climbers,6,2,8,0.75
greninja,greninja,2,6,8,0.25
cloud,olimar,11,2,13,0.8461538461538461
captainfalcon,pichu,9,7,16,0.5625
peach,shulk,8,6,14,0.5714285714285714
captainfalcon,olimar,4,1,5,0.8
chrom,mario,9,1,10,0.9
dr. mario,sheik,2,4,6,0.3333333333333333
duckhunt,inkling,4,4,8,0.5
pacman,young link,7,4,11,0.6363636363636364
pacman,samus,8,5,13,0.6153846153846154
luigi,peach,8,4,12,0.6666666666666666
olimar,peach,6,5,11,0.5454545454545454
lucas,toon link,5,4,9,0.5555555555555556
corrin,rob,6,9,15,0.4
duckhunt,megaman,3,5,8,0.375
cloud,dr. mario,5,6,11,0.45454545454545453
mario,rosalina & luma,4,1,5,0.8
incineroar,sonic,9,5,14,0.6428571428571429
rob,villager,12,6,18,0.6666666666666666
luigi,villager,3,2,5,0.6
metaknight,shulk,8,2,10,0.8
pichu,pikachu,7,5,12,0.5833333333333334
greninja,young link,10,2,12,0.8333333333333334
pichu,pichu,2,3,5,0.4
chrom,wario,6,3,9,0.6666666666666666
greninja,pichu,8,6,14,0.5714285714285714
metaknight,olimar,5,0,5,1.0
chrom,diddy kong,6,5,11,0.5454545454545454
olimar,snake,8,7,15,0.5333333333333333
olimar,shulk,7,5,12,0.5833333333333334
bowser,olimar,7,0,7,1.0
